"","space","transit","access","house_rules","host_since","host_about","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","zipcode","latitude","longitude","accommodates","bathrooms","bedrooms","beds","square_feet","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","is_business_travel_ready","reviews_per_month","occupancy_rate","EntirePlace","PrivateRoom","SharedRoom","Respond_WithinDay","Respond_WithinFewHours","Respond_WithinTheHour","Apartment","BedNBreakdast","Condominium","GuestSuite","House","Loft","Other","ServicedApartment","Townhouse","Bed_Couch","Bed_Futon","Bed_PullOutSofa","Bed_Bed","Cancel_Flexible","Cancel_Moderate","Cancel_Strict","hasTV","hasInternet","hasWifi","hasShampoo","hasHeat","hasAC","hasBreakfast","hasDesk","hasFireplace","hasIron","hasHairDryer","hasPrivateEnt","hasKitchen","isFamilyFriendly","square_meter","propertyPrice","IncomePerMonth"
"558","1","1","0","1","2013","1","0",1,"1",1,"75020",48.8690589985382,2.38406882060992,"7","2","3","5",969,180,900,90,"6",30,6,1125,15,92,10,9,10,10,9,9,"0","0",0.22,0.0586666666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","1","90.023007","611436.263544",316.8
"559","1","0","1","1","2013","1","0",1,"1",1,"75011",48.8664467961518,2.37303807676251,"9","3","5","5",1561,355,900,100,"8",0,4,30,21,100,10,9,10,10,9,9,"0","0",0.34,0.0906666666666667,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","1","145.021583","1183521.138863",965.6
"560","1","1","0","0","2013","1","0",1,"1",1,"75002",48.8646434677982,2.34994649502319,"6","1","2","3",592,110,200,30,"2",10,2,365,37,91,9,9,10,10,9,9,"0","0",0.54,0.144,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","1","1","0","1","1","0","1","1","54.998576","513741.698416",475.2
"561","1","1","1","1","2013","1","0",2,"1",1,"75015",48.8409087990527,2.2882547445638,"4","1","1","2",431,95,0,30,"2",10,2,1125,52,96,10,9,10,10,10,9,"0","0",1.27,0.338666666666667,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","40.041193","343593.477133",965.200000000001
"562","1","0","0","1","2013","1","0",1,"1",0,"75019",48.8788113009726,2.37624158073776,"4","2","2","2",753,119,500,45,"1",0,3,365,18,96,10,10,10,10,9,9,"0","0",0.26,0.0693333333333333,"1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","1","1","0","1","0","0","0","0","0","0","0","1","0","69.955959","455203.425213",247.52
"563","1","1","1","1","2013","1","1",1,"1",1,"75010",48.8765598580977,2.36536408093324,"6","2","3","5",517,349,2000,45,"1",0,3,1125,60,98,10,10,10,10,10,10,"0","0",1.43,0.381333333333333,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","48.030851","370702.108018",3992.56
"564","1","1","1","1","2013","1","0",1,"1",1,"75018",48.895113902581,2.36083424049989,"1","1","1","1",215,25,0,0,"1",0,19,100,4,87,8,7,10,10,7,9,"0","0",0.07,0.0186666666666667,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","19.974145","148208.1559",14
"565","1","1","1","1","2013","1","0",1,"1",0,"75011",48.8600382668709,2.37318508254152,"1","0.5","1","1",118,53,200,20,"1",0,5,1125,79,90,9,10,10,10,10,9,"0","0",1.19,0.317333333333333,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","1","0","1","1","0","1","0","10.962554","89465.403194",504.559999999999
"566","1","1","1","1","2012","1","0",2,"1",0,"75018",48.8888627716712,2.34783211350592,"2","1","1","1",129,54,300,12,"2",8,2,15,14,91,10,9,10,10,9,9,"1","0",0.21,0.056,"0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","11.984487","88924.89354",90.72
"567","1","1","0","1","2013","0","0",1,"1",0,"75014",48.8354572236625,2.33215856009265,"4","1","2","3",646,165,400,50,"4",0,3,1125,13,92,9,9,9,9,9,8,"0","0",0.28,0.0746666666666667,"1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","1","0","0","0","1","1","60.015338","502208.348384",369.6
